The easiest way to collect this information is to search “bike racks in kitchener waterloo” and then find out their latitude and longitude by right-clicking the red-location marker and choosing “what’s here” option?									
									
ALSO, if you can't find the latitude and longitude using the method given above, visit https://www.latlong.net/ and easily just type in the address to get the measurements!									
									
Name	Location	Latitude	Longitude	Rating	Phone no.	Hours	Website	Price (Cash! Cash!)	Amenities
Bike Rack 2	Waterloo, ON N2L 3G1	43.4702509	-80.5430006	4.3	          - 	          - 	          - 	FREE	
Uptown Parkade	60 King St S, Waterloo, ON N2J 1N8	43.46402	-80.52174	4	(519) 886-2310 ext. 30340	Open 24/7	          - 	$10/month + HST	
--	Old Oak Park, 505 Laurelwood Drive -507 Old Oak Pl, Waterloo, ON N2T 2V8 - Gatestone Park, Waterloo, ON	43.47168	-80.58346	4	          - 	8 am - 11pm	          - 	          - 	Trails,Green Space, Two Sports Fields & Playground
--	Regency Park, 211 Roxton Drive	43.4610408	-80.5634571	          - 	          - 	          - 	          - 	          - 	Trails, Ball Diamond, Sports Field & Playground
--	Vista Hills Park, 612 Sundew Drive	43.460733	-80.5996951	          - 	          - 	          - 	          - 	          - 	Trails, Basketball Court
--	Dunvegan Park, 362 Dunvegan Drive 362 Dunvegan Dr, Waterloo, ON N2K 2C4	43.4935	-80.50207	4.3	          - 	8am - 11pm	          - 	          - 	Trails, Two Basketball Courts, Tennis Court & Playground
Bike Rack	Waterloo, ON N2L 3G1			3	          - 	          - 	          - 	          - 	
Mclennan Park	901 Ottawa St S, Kitchener, ON N2E 1T4	43.420792	-80.49205	4.4	(519) 741-2345	7am-11pm	          - 	          - 	
Hydro Cut		43.428959	-80.563445	4.8	          - 	          - 	          - 	          - 	
Huron Natural Area	801 Trillium Dr, Kitchener, ON N2R 1K4	43.3984	-80.48197	4.7	(519) 741-2600	6am - 9pm	          - 	          - 	Natural park with 264 acres of forest, wetlands & meadows traversed by hiking trails & a creek.
Homer Watson Park	1094 Wilson Ave, Kitchener, ON N2C 1J3	43.40661	-80.43734	4.4	(519) 741-2286	6am - 11pm 	          - 	          - 	Tranquil park featuring trails popular among artists & photographers for river & forest scenery.
Steckle Woods	Kitchener, ON N2C 2G2	          - 	          - 	          - 	          - 	          - 	          - 	          - 	          - 
McPhail's Cycle & Sports Ltd.	98 King St N, Waterloo, ON N2J 2X4	43.46837	-80.52294	4.3	(519)  886-4340 	Weekdays - 9am - 6pm, Saturday - 9am - 5pm, Sunday- Closed	          - 	          - 	          - 
Charles & Benton Street Parking Garage	4 Charles St E, Kitchener, ON N2G 1V8	43.44894	-80.48967	4.1	(519) 741-2345	          - 	          - 	          - 	          - 
Cambridge to Paris Rail Trail - Cambrige Trailhead	210 Water St S, Cambridge, ON N1R 5S6	43.34475	-80.31544	4.8	(519) 621-2761	          - 	          - 	          - 	          - 
City Hall Parking Garage	200 King St W, Kitchener, ON N2G 4V6	43.4516	-80.49249	5	(519) 741-2200 ext. 7151	          - 	          - 	FREE 2 hrs. - Sat. FREE - 2hrs - WITH VOUCHER FROM DOWNTOWN RETAILERS	          - 
Market	300 King St. E, Kitchener	43.448007	-80.483842					FREE 2 hrs. - Sat. FREE - 2hrs - WITH VOUCHER FROM DOWNTOWN RETAILERS	          - 
DUKE & ONTARIO 	33 ONTARIO ST N, Kitchener	43.450903	-80.489739					FREE 2 hrs. - Sat. FREE - 2hrs - WITH VOUCHER FROM DOWNTOWN RETAILERS	          - 
CIVIC DISTRICT 	101 QUEEN ST N, Kitchener	43.454561	-80.484446						
Queen St. N	19 QUEEN ST N, Kitchener	43.450408	-80.488523	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Water St S	28 WATER ST S, Kitchener	43.45091	-80.49512	          - 	          - 	          - 	          - 	          - 	          - 
Forsyth	31 YOUNG ST, Kitchener	43.451993	-80.491366	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Siegner Lane	4 CHARLES ST E, Kitchener	43.448823	-80.489307	          - 	          - 	          - 	          - 	          - 	
Charles St. West	44-50 GAUKEL ST , Kitchener	43.449423	-80.493533	          - 	          - 	          - 	          - 	          - 	          - 
Otto Street	172 FREDERICK ST, Kitchener	43.452944	-80.483414	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Scott Street	194 KING ST E, Kitchener	43.448518	-80.48588	          - 	          - 	          - 	          - 	          - 	          - 
									          - 
King St. E	201 KING ST E, Kitchener	43.448266	-80.485776	          - 	          - 	          - 	          - 	          - 	
									          - 
          - 	48 ONTARIO ST N, Kitchener	43.451046	-80.490005	          - 	          - 	          - 	          - 	FREE After 5pm	
          - 	345 King St. W	43.451789	-80.497811						          - 
	83 Queen St. N								
Queen St. S	 5 CHARLES ST E, Kitchener	43.448764	-80.489889	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Ontario St. S	40 ONTARIO ST S, Kitchener	43.449826	-80.490938	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Green Street	787 KING ST W, Kitchener	43.456162	-80.508851	          - 	          - 	          - 	          - 	          - 	          - 
Rotary	828 KING ST W , Kitchener	43.456701	-80.509883	          - 	          - 	          - 	          - 	          - 	          - 
Transit	15 CHARLES ST W, Kitchener	43.449565	-80.492248	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
Bramm St. Yards	55 BRAMM ST, Kitchener	43.449716	-80.502011	          - 	          - 	          - 	          - 	FREE After 5pm	          - 
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
				Latitudes					
